a,ə,(∅ ə ∅)
invasion,ɪnˈveɪʒn̩,(∅ ɪ n) ˈ(v eɪ ∅) (ʒ n̩ ∅)
invent,ɪnˈvent,(∅ ɪ n) ˈ(v e nt)
invention,ɪnˈvenʃn̩,(∅ ɪ n) ˈ(v e n) (ʃ n̩ ∅)
inventory,ˈɪnvəntr̩i,ˈ(∅ ɪ n) (v ə n) (t r̩ ∅) (∅ i ∅)
invest,ɪnˈvest,(∅ ɪ n) ˈ(v e st)
investigate,ɪnˈvestɪgeɪt,(∅ ɪ n) ˈ(v e ∅) (st ɪ ∅) (g eɪ t)
investigation,ɪnˌvestɪˈgeɪʃn̩,(∅ ɪ n) ˌ(v e ∅) (st ɪ ∅) ˈ(g eɪ ∅) (ʃ n̩ ∅)
investigator,ɪnˈvestɪgeɪtə,(∅ ɪ n) ˈ(v e ∅) (st ɪ ∅) (g eɪ ∅) (t ə ∅)
investment,ɪnˈvestmənt,(∅ ɪ n) ˈ(v e st) (m ə nt)
investor,ɪnˈvestə,(∅ ɪ n) ˈ(v e ∅) (st ə ∅)
invisible,ɪnˈvɪzəbɫ̩,(∅ ɪ n) ˈ(v ɪ ∅) (z ə ∅) (b ɫ̩ ∅)
invitation,ˌɪnvɪˈteɪʃn̩,ˌ(∅ ɪ n) (v ɪ ∅) ˈ(t eɪ ∅) (ʃ n̩ ∅)
invite,ɪnˈvaɪt,(∅ ɪ n) ˈ(v aɪ t)
involve,ɪnˈvɒlv,(∅ ɪ n) ˈ(v ɒ lv)
involved,ɪnˈvɒlvd,(∅ ɪ n) ˈ(v ɒ lvd)
involvement,ɪnˈvɒlvmənt,(∅ ɪ n) ˈ(v ɒ lv) (m ə nt)
iraqi,ɪˈrɑːki,(∅ ɪ ∅) ˈ(r ɑː ∅) (k i ∅)
irish,ˈaɪrɪʃ,ˈ(∅ aɪ ∅) (r ɪ ʃ)
iron,ˈaiən,ˈ(∅ a ∅) (∅ iə n)
ironically,aɪˈrɒnɪkli,(∅ aɪ ∅) ˈ(r ɒ ∅) (n ɪ ∅) (kl i ∅)
irony,ˈaɪrəni,ˈ(∅ aɪ ∅) (r ə ∅) (n i ∅)
islam,ˈɪzlɑːm,ˈ(∅ ɪ z) (l ɑː m)
islamic,ɪzˈlamɪk,(∅ ɪ z) ˈ(l a ∅) (m ɪ k)
island,ˈaɪlənd,ˈ(∅ aɪ ∅) (l ə nd)
isolate,ˈaɪsəleɪt,ˈ(∅ aɪ ∅) (s ə ∅) (l eɪ t)
isolated,ˈaɪsəleɪtɪd,ˈ(∅ aɪ ∅) (s ə ∅) (l eɪ ∅) (t ɪ d)
isolation,ˌaɪsəˈleɪʃn̩,ˌ(∅ aɪ ∅) (s ə ∅) ˈ(l eɪ ∅) (ʃ n̩ ∅)
israeli,ɪzˈreɪli,(∅ ɪ z) ˈ(r eɪ ∅) (l i ∅)
issue,ˈɪʃuː,ˈ(∅ ɪ ∅) (ʃ uː ∅)
it,ɪt,(∅ ɪ t)
italian,ɪˈtaljən,(∅ ɪ ∅) ˈ(t a ∅) (lj ə n)
item,ˈaɪtəm,ˈ(∅ aɪ ∅) (t ə m)
its,ɪts,(∅ ɪ ts)
itself,ɪtˈself,(∅ ɪ t) ˈ(s e lf)
jacket,ˈʤakɪt,ˈ(ʤ a ∅) (k ɪ t)
jail,ʤeɪl,(ʤ eɪ l)
japanese,ˌʤapəˈniːz,ˌ(ʤ a ∅) (p ə ∅) ˈ(n iː z)
jar,ʤɑː,(ʤ ɑː ∅)
jaw,ʤɔː,(ʤ ɔː ∅)
jazz,ʤaz,(ʤ a z)
jeans,ʤiːnz,(ʤ iː nz)
jet,ˈʤet,ˈ(ʤ e t)
jew,ʤuː,(ʤ uː ∅)
jewelry,ˈʤuːəlri,ˈ(ʤ uː ∅) (∅ ə l) (r i ∅)
jewish,ˈʤuːɪʃ,ˈ(ʤ uː ∅) (∅ ɪ ʃ)
job,ʤɒb,(ʤ ɒ b)
join,ʤɔɪn,(ʤ ɔɪ n)
joint,ʤɔɪnt,(ʤ ɔɪ nt)
joke,ʤəʊk,(ʤ əʊ k)
journal,ˈʤɜːnəl,ˈ(ʤ ɜː ∅) (n ə l)
journalism,ˈʤɜːnəlɪzəm,ˈ(ʤ ɜː ∅) (n ə ∅) (l ɪ ∅) (z ə m)
journalist,ˈʤɜːnəlɪst,ˈ(ʤ ɜː ∅) (n ə ∅) (l ɪ st)
journey,ˈʤɜːni,ˈ(ʤ ɜː ∅) (n i ∅)
joy,ʤɔɪ,(ʤ ɔɪ ∅)
judge,ʤʌʤ,(ʤ ʌ ʤ)
judge,ʤʌʤ,(ʤ ʌ ʤ)
judgment,ˈʤʌʤmənt,ˈ(ʤ ʌ ʤ) (m ə nt)
judicial,ʤuːˈdɪʃəl,(ʤ uː ∅) ˈ(d ɪ ∅) (ʃ ə l)
juice,ʤuːs,(ʤ uː s)
jump,ʤʌmp,(ʤ ʌ mp)
jungle,ˈʤʌŋgɫ̩,ˈ(ʤ ʌ ŋ) (g ɫ̩ ∅)
junior,ˈʤuːniə,ˈ(ʤ uː ∅) (n iə ∅)
jurisdiction,ˌʤʊərɪsˈdɪkʃn̩,ˌ(ʤ ʊə ∅) (r ɪ s) ˈ(d ɪ k) (ʃ n̩ ∅)
juror,ˈʤʊərə,ˈ(ʤ ʊə ∅) (r ə ∅)
jury,ˈʤʊəri,ˈ(ʤ ʊə ∅) (r i ∅)
just,ʤəst,(ʤ ə st)
justice,ˈʤʌstɪs,ˈ(ʤ ʌ ∅) (st ɪ s)
justify,ˈʤʌstɪfaɪ,ˈ(ʤ ʌ ∅) (st ɪ ∅) (f aɪ ∅)
keep,kiːp,(k iː p)
key,kiː,(k iː ∅)
kick,ˈkɪk,ˈ(k ɪ k)
kid,ˈkɪd,ˈ(k ɪ d)
kill,kɪl,(k ɪ l)
killer,ˈkɪlə,ˈ(k ɪ ∅) (l ə ∅)
killing,ˈkɪlɪŋ,ˈ(k ɪ ∅) (l ɪ ŋ)
kind,kaɪnd,(k aɪ nd)
king,kɪŋ,(k ɪ ŋ)
kingdom,ˈkɪŋdəm,ˈ(k ɪ ŋ) (d ə m)
kiss,kɪs,(k ɪ s)
kit,kɪt,(k ɪ t)
kitchen,ˈkɪʧɪn,ˈ(k ɪ ∅) (ʧ ɪ n)
knee,niː,(n iː ∅)
kneel,niːl,(n iː l)
knife,naɪf,(n aɪ f)
knock,nɒk,(n ɒ k)
know,nəʊ,(n əʊ ∅)
knowledge,ˈnɒlɪʤ,ˈ(n ɒ ∅) (l ɪ ʤ)
known,nəʊn,(n əʊ n)
korean,kəˈriən,(k ə ∅) ˈ(r iə n)
lab,lab,(l a b)
label,ˈleɪbɫ̩,ˈ(l eɪ ∅) (b ɫ̩ ∅)
label,ˈleɪbəl,ˈ(l eɪ ∅) (b ə l)
laboratory,ləˈbɒrətr̩i,(l ə ∅) ˈ(b ɒ ∅) (r ə ∅) (t r̩ ∅) (∅ i ∅)
labour,ˈleɪbə,ˈ(l eɪ ∅) (b ə ∅)
lack,lak,(l a k)
ladder,ˈladə,ˈ(l a ∅) (d ə ∅)
lady,ˈleɪdi,ˈ(l eɪ ∅) (d i ∅)
lake,leɪk,(l eɪ k)
lamp,lamp,(l a mp)
land,land,(l a nd)
landing,ˈlandɪŋ,ˈ(l a n) (d ɪ ŋ)
landmark,ˈlandmɑːk,ˈ(l a nd) (m ɑː k)
landscape,ˈlandskeɪp,ˈ(l a nd) (sk eɪ p)
lane,leɪn,(l eɪ n)
language,ˈlaŋgwɪʤ,ˈ(l a ŋ) (gw ɪ ʤ)
lap,lap,(l a p)
large,lɑːʤ,(l ɑː ʤ)
largely,ˈlɑːʤli,ˈ(l ɑː ʤ) (l i ∅)
laser,ˈleɪzə,ˈ(l eɪ ∅) (z ə ∅)
last,lɑːst,(l ɑː st)
late,leɪt,(l eɪ t)
lately,ˈleɪtli,ˈ(l eɪ t) (l i ∅)
later,ˈleɪtə,ˈ(l eɪ ∅) (t ə ∅)
latin,ˈlatɪn,ˈ(l a ∅) (t ɪ n)
latter,ˈlatə,ˈ(l a ∅) (t ə ∅)
laugh,lɑːf,(l ɑː f)
laughter,ˈlɑːftə,ˈ(l ɑː f) (t ə ∅)
launch,lɔːnʧ,(l ɔː nʧ)
laundry,ˈlɔːndri,ˈ(l ɔː n) (dr i ∅)
law,lɔː,(l ɔː ∅)
lawmaker,ˈlɔːmeɪkə,ˈ(l ɔː ∅) (m eɪ ∅) (k ə ∅)
lawn,lɔːn,(l ɔː n)
lawsuit,ˈlɔːsuːt,ˈ(l ɔː ∅) (s uː t)
lawyer,ˈlɔːjə,ˈ(l ɔː ∅) (j ə ∅)
lay,leɪ,(l eɪ ∅)
layer,ˈleɪə,ˈ(l eɪ ∅) (∅ ə ∅)
lead,liːd,(l iː d)
leader,ˈliːdə,ˈ(l iː ∅) (d ə ∅)
leadership,ˈliːdəʃɪp,ˈ(l iː ∅) (d ə ∅) (ʃ ɪ p)
leading,ˈliːdɪŋ,ˈ(l iː ∅) (d ɪ ŋ)
leaf,liːf,(l iː f)
league,liːg,(l iː g)
lean,liːn,(l iː n)
leap,liːp,(l iː p)
learn,lɜːn,(l ɜː n)
learning,ˈlɜːnɪŋ,ˈ(l ɜː ∅) (n ɪ ŋ)
least,liːst,(l iː st)
leather,ˈleðə,ˈ(l e ∅) (ð ə ∅)
leave,liːv,(l iː v)
lecture,ˈlekʧə,ˈ(l e k) (ʧ ə ∅)
left,left,(l e ft)
leg,leg,(l e g)
legacy,ˈlegəsi,ˈ(l e ∅) (g ə ∅) (s i ∅)
legal,ˈliːgəl,ˈ(l iː ∅) (g ə l)
legally,ˈliːgəli,ˈ(l iː ∅) (g ə ∅) (l i ∅)
legend,ˈleʤənd,ˈ(l e ∅) (ʤ ə nd)
legislation,ˌleʤɪsˈleɪʃn̩,ˌ(l e ∅) (ʤ ɪ ∅) ˈ(sl eɪ ∅) (ʃ n̩ ∅)
legislative,ˈleʤɪslətɪv,ˈ(l e ∅) (ʤ ɪ ∅) (sl ə ∅) (t ɪ v)
legislator,ˈleʤɪsleɪtə,ˈ(l e ∅) (ʤ ɪ ∅) (sl eɪ ∅) (t ə ∅)
legislature,ˈleʤɪsleɪʧə,ˈ(l e ∅) (ʤ ɪ ∅) (sl eɪ ∅) (ʧ ə ∅)
legitimate,lɪˈʤɪtɪmət,(l ɪ ∅) ˈ(ʤ ɪ ∅) (t ɪ ∅) (m ə t)
lemon,ˈlemən,ˈ(l e ∅) (m ə n)
lend,lend,(l e nd)
length,leŋθ,(l e ŋθ)
lens,lenz,(l e nz)
less,les,(l e s)
lesson,ˈlesn̩,ˈ(l e ∅) (s n̩ ∅)
let,let,(l e t)
letter,ˈletə,ˈ(l e ∅) (t ə ∅)
level,ˈlevəl,ˈ(l e ∅) (v ə l)
liability,ˌlaɪəˈbɪlɪti,ˌ(l aɪ ∅) (∅ ə ∅) ˈ(b ɪ ∅) (l ɪ ∅) (t i ∅)
liberal,ˈlɪbərəl,ˈ(l ɪ ∅) (b ə ∅) (r ə l)
liberty,ˈlɪbəti,ˈ(l ɪ ∅) (b ə ∅) (t i ∅)
library,ˈlaɪbrəri,ˈ(l aɪ ∅) (br ə ∅) (r i ∅)
license,ˈlaɪsəns,ˈ(l aɪ ∅) (s ə ns)
lid,lɪd,(l ɪ d)
lie,laɪ,(l aɪ ∅)
life,laɪf,(l aɪ f)
lifestyle,ˈlaɪfstaɪl,ˈ(l aɪ f) (st aɪ l)
lifetime,ˈlaɪftaɪm,ˈ(l aɪ f) (t aɪ m)
lift,lɪft,(l ɪ ft)
light,laɪt,(l aɪ t)
light,laɪt,(l aɪ t)
lighting,ˈlaɪtɪŋ,ˈ(l aɪ ∅) (t ɪ ŋ)
lightly,ˈlaɪtli,ˈ(l aɪ t) (l i ∅)
lightning,ˈlaɪtn̩ɪŋ,ˈ(l aɪ ∅) (t n̩ ∅) (∅ ɪ ŋ)
like,ˈlaɪk,ˈ(l aɪ k)
likelihood,ˈlaɪklɪhʊd,ˈ(l aɪ ∅) (kl ɪ ∅) (h ʊ d)
likely,ˈlaɪkli,ˈ(l aɪ k) (l i ∅)
likewise,ˈlaɪkwaɪz,ˈ(l aɪ k) (w aɪ z)
limb,lɪm,(l ɪ m)
limit,ˈlɪmɪt,ˈ(l ɪ ∅) (m ɪ t)
limitation,ˌlɪmɪˈteɪʃn̩,ˌ(l ɪ ∅) (m ɪ ∅) ˈ(t eɪ ∅) (ʃ n̩ ∅)
limited,ˈlɪmɪtɪd,ˈ(l ɪ ∅) (m ɪ ∅) (t ɪ d)
line,laɪn,(l aɪ n)
link,lɪŋk,(l ɪ ŋk)
lion,ˈlaɪən,ˈ(l aɪ ∅) (∅ ə n)
lip,lɪp,(l ɪ p)
liquid,ˈlɪkwɪd,ˈ(l ɪ ∅) (kw ɪ d)
list,lɪst,(l ɪ st)
listen,ˈlɪsn̩,ˈ(l ɪ ∅) (s n̩ ∅)
listener,ˈlɪsnə,ˈ(l ɪ ∅) (sn ə ∅)
literally,ˈlɪtərəli,ˈ(l ɪ ∅) (t ə ∅) (r ə ∅) (l i ∅)
literary,ˈlɪtərəri,ˈ(l ɪ ∅) (t ə ∅) (r ə ∅) (r i ∅)
literature,ˈlɪtrəʧə,ˈ(l ɪ ∅) (tr ə ∅) (ʧ ə ∅)
little,ˈlɪtɫ̩,ˈ(l ɪ ∅) (t ɫ̩ ∅)
live,laɪv,(l aɪ v)
liver,ˈlɪvə,ˈ(l ɪ ∅) (v ə ∅)
living,ˈlɪvɪŋ,ˈ(l ɪ ∅) (v ɪ ŋ)
load,ləʊd,(l əʊ d)
loan,ləʊn,(l əʊ n)
lobby,ˈlɒbi,ˈ(l ɒ ∅) (b i ∅)
local,ˈləʊkəl,ˈ(l əʊ ∅) (k ə l)
locate,ləʊˈkeɪt,(l əʊ ∅) ˈ(k eɪ t)
location,ləʊˈkeɪʃn̩,(l əʊ ∅) ˈ(k eɪ ∅) (ʃ n̩ ∅)
lock,lɒk,(l ɒ k)
log,lɒg,(l ɒ g)
logic,ˈlɒʤɪk,ˈ(l ɒ ∅) (ʤ ɪ k)
logical,ˈlɒʤɪkəl,ˈ(l ɒ ∅) (ʤ ɪ ∅) (k ə l)
lonely,ˈləʊnli,ˈ(l əʊ n) (l i ∅)
long,ˈlɒŋ,ˈ(l ɒ ŋ)
long-term,ˈlɒŋtɜːm,ˈ(l ɒ ŋ) (t ɜː m)
look,lʊk,(l ʊ k)
loop,luːp,(l uː p)
loose,luːs,(l uː s)
lose,luːz,(l uː z)
loss,lɒs,(l ɒ s)
lost,lɒst,(l ɒ st)
lot,lɒt,(l ɒ t)
lots,lɒts,(l ɒ ts)
loud,laʊd,(l aʊ d)
love,ˈlʌv,ˈ(l ʌ v)
lovely,ˈlʌvli,ˈ(l ʌ v) (l i ∅)
lover,ˈlʌvə,ˈ(l ʌ ∅) (v ə ∅)
low,ləʊ,(l əʊ ∅)
lower,ˈləʊə,ˈ(l əʊ ∅) (∅ ə ∅)
loyal,ˈlɔjəl,ˈ(l ɔ ∅) (j ə l)
loyalty,ˈlɔjəlti,ˈ(l ɔ ∅) (j ə l) (t i ∅)
luck,lʌk,(l ʌ k)
lucky,ˈlʌki,ˈ(l ʌ ∅) (k i ∅)
lunch,ˈlʌnʧ,ˈ(l ʌ nʧ)
lung,lʌŋ,(l ʌ ŋ)
machine,məˈʃiːn,(m ə ∅) ˈ(ʃ iː n)
mad,mad,(m a d)
magazine,ˌmagəˈziːn,ˌ(m a ∅) (g ə ∅) ˈ(z iː n)
magic,ˈmaʤɪk,ˈ(m a ∅) (ʤ ɪ k)
magnetic,magˈnetɪk,(m a g) ˈ(n e ∅) (t ɪ k)
magnitude,ˈmagnɪtjuːd,ˈ(m a g) (n ɪ ∅) (tj uː d)
mail,meɪl,(m eɪ l)
main,meɪn,(m eɪ n)
mainly,ˈmeɪnli,ˈ(m eɪ n) (l i ∅)
mainstream,ˈmeɪnstriːm,ˈ(m eɪ n) (str iː m)
maintain,meɪnˈteɪn,(m eɪ n) ˈ(t eɪ n)
maintenance,ˈmeɪntənəns,ˈ(m eɪ n) (t ə ∅) (n ə ns)
major,ˈmeɪʤə,ˈ(m eɪ ∅) (ʤ ə ∅)
majority,məˈʤɒrɪti,(m ə ∅) ˈ(ʤ ɒ ∅) (r ɪ ∅) (t i ∅)
make,ˈmeɪk,ˈ(m eɪ k)
maker,ˈmeɪkə,ˈ(m eɪ ∅) (k ə ∅)
makeup,ˈmeɪkʌp,ˈ(m eɪ ∅) (k ʌ p)
male,meɪl,(m eɪ l)
mall,mɔːl,(m ɔː l)
man,man,(m a n)
manage,ˈmanɪʤ,ˈ(m a ∅) (n ɪ ʤ)
management,ˈmanɪʤmənt,ˈ(m a ∅) (n ɪ ʤ) (m ə nt)
manager,ˈmanɪʤə,ˈ(m a ∅) (n ɪ ∅) (ʤ ə ∅)
managing,ˈmanɪʤɪŋ,ˈ(m a ∅) (n ɪ ∅) (ʤ ɪ ŋ)
mandate,ˈmandeɪt,ˈ(m a n) (d eɪ t)
manipulate,məˈnɪpjʊleɪt,(m ə ∅) ˈ(n ɪ ∅) (pj ʊ ∅) (l eɪ t)
manner,ˈmanə,ˈ(m a ∅) (n ə ∅)
mansion,ˈmanʃn̩,ˈ(m a n) (ʃ n̩ ∅)
manual,ˈmanjʊəl,ˈ(m a ∅) (nj ʊə l)
manufacturer,ˌmanjʊˈfakʧərə,ˌ(m a ∅) (nj ʊ ∅) ˈ(f a k) (ʧ ə ∅) (r ə ∅)
manufacturing,ˌmanjʊˈfakʧərɪŋ,ˌ(m a ∅) (nj ʊ ∅) ˈ(f a k) (ʧ ə ∅) (r ɪ ŋ)
many,ˈmeni,ˈ(m e ∅) (n i ∅)
map,map,(m a p)
marble,ˈmɑːbɫ̩,ˈ(m ɑː ∅) (b ɫ̩ ∅)
march,mɑːʧ,(m ɑː ʧ)
margin,ˈmɑːʤɪn,ˈ(m ɑː ∅) (ʤ ɪ n)
marine,məˈriːn,(m ə ∅) ˈ(r iː n)
mark,mɑːk,(m ɑː k)
marker,ˈmɑːkə,ˈ(m ɑː ∅) (k ə ∅)
market,ˈmɑːkɪt,ˈ(m ɑː ∅) (k ɪ t)
marketing,ˈmɑːkɪtɪŋ,ˈ(m ɑː ∅) (k ɪ ∅) (t ɪ ŋ)
marketplace,ˈmɑːkɪtpleɪs,ˈ(m ɑː ∅) (k ɪ t) (pl eɪ s)
marriage,ˈmarɪʤ,ˈ(m a ∅) (r ɪ ʤ)
married,ˈmarɪd,ˈ(m a ∅) (r ɪ d)
marry,ˈmari,ˈ(m a ∅) (r i ∅)
mask,mɑːsk,(m ɑː sk)
mass,mas,(m a s)
massive,ˈmasɪv,ˈ(m a ∅) (s ɪ v)
master,ˈmɑːstə,ˈ(m ɑː ∅) (st ə ∅)
match,maʧ,(m a ʧ)
mate,meɪt,(m eɪ t)
material,məˈtɪːriəl,(m ə ∅) ˈ(t ɪː ∅) (r iə l)
math,ˌmaθ,ˌ(m a θ)
mathematics,ˌmaθəˈmatɪks,ˌ(m a ∅) (θ ə ∅) ˈ(m a ∅) (t ɪ ks)
matter,ˈmatə,ˈ(m a ∅) (t ə ∅)
maximum,ˈmaksɪməm,ˈ(m a k) (s ɪ ∅) (m ə m)
may,meɪ,(m eɪ ∅)
maybe,ˈmeɪbiː,ˈ(m eɪ ∅) (b iː ∅)
mayor,meə,(m eə ∅)
me,miː,(m iː ∅)
meal,miːl,(m iː l)
mean,miːn,(m iː n)
meaning,ˈmiːnɪŋ,ˈ(m iː ∅) (n ɪ ŋ)
meaningful,ˈmiːnɪŋfəl,ˈ(m iː ∅) (n ɪ ŋ) (f ə l)
meantime,ˈmiːntaɪm,ˈ(m iː n) (t aɪ m)
meanwhile,ˈmiːnwaɪl,ˈ(m iː n) (w aɪ l)
measure,ˈmeʒə,ˈ(m e ∅) (ʒ ə ∅)
measurement,ˈmeʒəmənt,ˈ(m e ∅) (ʒ ə ∅) (m ə nt)
meat,miːt,(m iː t)
mechanic,mɪˈkanɪk,(m ɪ ∅) ˈ(k a ∅) (n ɪ k)
mechanical,mɪˈkanɪkəl,(m ɪ ∅) ˈ(k a ∅) (n ɪ ∅) (k ə l)
mechanism,ˈmekənɪzəm,ˈ(m e ∅) (k ə ∅) (n ɪ ∅) (z ə m)
medal,ˈmedɫ̩,ˈ(m e ∅) (d ɫ̩ ∅)
media,ˈmiːdiə,ˈ(m iː ∅) (d iə ∅)
medical,ˈmedɪkəl,ˈ(m e ∅) (d ɪ ∅) (k ə l)
medication,ˌmedɪˈkeɪʃn̩,ˌ(m e ∅) (d ɪ ∅) ˈ(k eɪ ∅) (ʃ n̩ ∅)
medicine,ˈmedsn̩,ˈ(m e d) (s n̩ ∅)
medium,ˈmiːdiəm,ˈ(m iː ∅) (d iə m)
meet,miːt,(m iː t)
meeting,ˈmiːtɪŋ,ˈ(m iː ∅) (t ɪ ŋ)
melt,melt,(m e lt)
member,ˈmembə,ˈ(m e m) (b ə ∅)
membership,ˈmembəʃɪp,ˈ(m e m) (b ə ∅) (ʃ ɪ p)
memory,ˈmeməri,ˈ(m e ∅) (m ə ∅) (r i ∅)
mental,ˈmentəl,ˈ(m e n) (t ə l)
mentally,ˈmentəli,ˈ(m e n) (t ə ∅) (l i ∅)
mention,ˈmenʃn̩,ˈ(m e n) (ʃ n̩ ∅)
mentor,ˈmentɔː,ˈ(m e n) (t ɔː ∅)
menu,ˈmenjuː,ˈ(m e ∅) (nj uː ∅)
merchant,ˈmɜːʧənt,ˈ(m ɜː ∅) (ʧ ə nt)
mere,miə,(m iə ∅)
merely,ˈmiəli,ˈ(m iə ∅) (l i ∅)
merit,ˈmerɪt,ˈ(m e ∅) (r ɪ t)
mess,mes,(m e s)
message,ˈmesɪʤ,ˈ(m e ∅) (s ɪ ʤ)
metal,ˈmetəl,ˈ(m e ∅) (t ə l)
metaphor,ˈmetəfə,ˈ(m e ∅) (t ə ∅) (f ə ∅)
meter,ˈmiːtə,ˈ(m iː ∅) (t ə ∅)
method,ˈmeθəd,ˈ(m e ∅) (θ ə d)
metropolitan,ˌmetrəˈpɒlɪtən,ˌ(m e ∅) (tr ə ∅) ˈ(p ɒ ∅) (l ɪ ∅) (t ə n)
mexican,ˈmeksɪkən,ˈ(m e k) (s ɪ ∅) (k ə n)
middle,ˈmɪdɫ̩,ˈ(m ɪ ∅) (d ɫ̩ ∅)
midnight,ˈmɪdnaɪt,ˈ(m ɪ d) (n aɪ t)
midst,mɪdst,(m ɪ dst)
might,maɪt,(m aɪ t)
migration,maɪˈgreɪʃn̩,(m aɪ ∅) ˈ(gr eɪ ∅) (ʃ n̩ ∅)
mild,maɪld,(m aɪ ld)
military,ˈmɪlɪtri,ˈ(m ɪ ∅) (l ɪ ∅) (tr i ∅)
milk,mɪlk,(m ɪ lk)
mill,mɪl,(m ɪ l)
million,ˈmɪliən,ˈ(m ɪ ∅) (l iə n)
mind,maɪnd,(m aɪ nd)
mine,maɪn,(m aɪ n)
mine,maɪn,(m aɪ n)
mineral,ˈmɪnərəl,ˈ(m ɪ ∅) (n ə ∅) (r ə l)
minimal,ˈmɪnɪməl,ˈ(m ɪ ∅) (n ɪ ∅) (m ə l)
minimise,ˈmɪnɪˌmaɪz,ˈ(m ɪ ∅) (n ɪ ∅) ˌ(m aɪ z)
minimum,ˈmɪnɪməm,ˈ(m ɪ ∅) (n ɪ ∅) (m ə m)
minister,ˈmɪnɪstə,ˈ(m ɪ ∅) (n ɪ ∅) (st ə ∅)
ministry,ˈmɪnɪstri,ˈ(m ɪ ∅) (n ɪ ∅) (str i ∅)
minor,ˈmaɪnə,ˈ(m aɪ ∅) (n ə ∅)
minority,maɪˈnɒrɪti,(m aɪ ∅) ˈ(n ɒ ∅) (r ɪ ∅) (t i ∅)
minute,maɪˈnjuːt,(m aɪ ∅) ˈ(nj uː t)
miracle,ˈmɪrəkɫ̩,ˈ(m ɪ ∅) (r ə ∅) (k ɫ̩ ∅)
mirror,ˈmɪrə,ˈ(m ɪ ∅) (r ə ∅)
miss,mɪs,(m ɪ s)
missile,ˈmɪsaɪl,ˈ(m ɪ ∅) (s aɪ l)
missing,ˈmɪsɪŋ,ˈ(m ɪ ∅) (s ɪ ŋ)
mission,ˈmɪʃn̩,ˈ(m ɪ ∅) (ʃ n̩ ∅)
missionary,ˈmɪʃənri,ˈ(m ɪ ∅) (ʃ ə n) (r i ∅)
mistake,mɪˈsteɪk,(m ɪ ∅) ˈ(st eɪ k)
mix,mɪks,(m ɪ ks)
mixed,mɪkst,(m ɪ kst)
mixture,ˈmɪksʧə,ˈ(m ɪ ks) (ʧ ə ∅)
mobile,ˈməʊbaɪl,ˈ(m əʊ ∅) (b aɪ l)
mode,məʊd,(m əʊ d)
model,ˈmɒdəl,ˈ(m ɒ ∅) (d ə l)
moderate,ˈmɒdəreɪt,ˈ(m ɒ ∅) (d ə ∅) (r eɪ t)
modern,ˈmɒdn̩,ˈ(m ɒ ∅) (d n̩ ∅)
modest,ˈmɒdɪst,ˈ(m ɒ ∅) (d ɪ st)
modify,ˈmɒdɪfaɪ,ˈ(m ɒ ∅) (d ɪ ∅) (f aɪ ∅)
molecule,ˈmɒlɪkjuːl,ˈ(m ɒ ∅) (l ɪ ∅) (kj uː l)
mom,mɒm,(m ɒ m)
moment,ˈməʊmənt,ˈ(m əʊ ∅) (m ə nt)
momentum,məˈmentəm,(m ə ∅) ˈ(m e n) (t ə m)
money,ˈmʌni,ˈ(m ʌ ∅) (n i ∅)
monitor,ˈmɒnɪtə,ˈ(m ɒ ∅) (n ɪ ∅) (t ə ∅)
monkey,ˈmʌŋki,ˈ(m ʌ ŋ) (k i ∅)
monster,ˈmɒnstə,ˈ(m ɒ n) (st ə ∅)
month,mʌnθ,(m ʌ nθ)
monthly,ˈmʌnθli,ˈ(m ʌ nθ) (l i ∅)
monument,ˈmɒnjʊmənt,ˈ(m ɒ ∅) (nj ʊ ∅) (m ə nt)
mood,muːd,(m uː d)
moon,muːn,(m uː n)
moral,ˈmɒrəl,ˈ(m ɒ ∅) (r ə l)
more,mɔː,(m ɔː ∅)
moreover,mɔːˈrəʊvə,(m ɔː ∅) ˈ(r əʊ ∅) (v ə ∅)
morning,ˈmɔːnɪŋ,ˈ(m ɔː ∅) (n ɪ ŋ)
mortality,mɔːˈtalɪti,(m ɔː ∅) ˈ(t a ∅) (l ɪ ∅) (t i ∅)
mortgage,ˈmɔːgɪʤ,ˈ(m ɔː ∅) (g ɪ ʤ)
most,məʊst,(m əʊ st)
mostly,ˈməʊstli,ˈ(m əʊ st) (l i ∅)
mother,ˈmʌðə,ˈ(m ʌ ∅) (ð ə ∅)
motion,ˈməʊʃn̩,ˈ(m əʊ ∅) (ʃ n̩ ∅)
motivate,ˈməʊtɪveɪt,ˈ(m əʊ ∅) (t ɪ ∅) (v eɪ t)
motivation,ˌməʊtɪˈveɪʃn̩,ˌ(m əʊ ∅) (t ɪ ∅) ˈ(v eɪ ∅) (ʃ n̩ ∅)
motive,ˈməʊtɪv,ˈ(m əʊ ∅) (t ɪ v)
motor,ˈməʊtə,ˈ(m əʊ ∅) (t ə ∅)
mount,maʊnt,(m aʊ nt)
mountain,ˈmaʊntɪn,ˈ(m aʊ n) (t ɪ n)
mouse,maʊs,(m aʊ s)
mouth,maʊθ,(m aʊ θ)
move,muːv,(m uː v)
movement,ˈmuːvmənt,ˈ(m uː v) (m ə nt)
movie,ˈmuːvi,ˈ(m uː ∅) (v i ∅)
much,ˈmʌʧ,ˈ(m ʌ ʧ)
mud,mʌd,(m ʌ d)
multiple,ˈmʌltɪpɫ̩,ˈ(m ʌ l) (t ɪ ∅) (p ɫ̩ ∅)
